what is a movie,"A film, also known as a ""movie"" or a ""motion picture,"" is a series of moving images shown on a screen, usually with sound, that make up a story."
what is your favourite movie,My favourite movie is the Green Mile due to its emotional appeal
how many movies are there,"Though the number isnt known, it has been estimated that there are approximately 500,000 movies (or, narrative fiction feature-length, theatrical-cinema films) currently in existence."
what does the terminator say,"The terminator is most known for his famous line of ""Ill be back"""
how long is the average movie,The most popular runtime is 90–100 minutes. 
what is the longest movie released,Amra Ekta Cinema Banabo is the longest running movie clocking in at 21hours
what is the shortest movie ever made,Fresh Guacamole is the shortest film nominated for an oscar at 1 minute 41 seconds
what is the most expensive film made,Pirates of the Caribbean: On Stranger Tides had a production value of 422 million dollars
what is the cheapest film made,The Magician cost a mere 1600 dollars to create
what is the most profitable movie of all time,Avatar holds the top spot for highest revnue ever made at 2.8 billion worldwide
